country,city,date,pm25
Tajikistan,Dushanbe,2019-06-01,37.55925926
Tajikistan,Dushanbe,2019-07-01,49.68857143
Tajikistan,Dushanbe,2019-08-01,72.91263441
Tajikistan,Dushanbe,2019-09-01,86.91091954
Tajikistan,Dushanbe,2019-10-01,43.8488529
Tajikistan,Dushanbe,2019-11-01,75.68888889
Tajikistan,Dushanbe,2019-12-01,75.56048387
Tajikistan,Dushanbe,2020-01-01,78.21265141
Tajikistan,Dushanbe,2020-02-01,39.01457726
Tajikistan,Dushanbe,2020-03-01,29.09274194
Tajikistan,Dushanbe,2020-04-01,24.10277778
Tajikistan,Dushanbe,2020-05-01,27.43922652
Tajikistan,Dushanbe,2020-06-01,40.29444444
Tajikistan,Dushanbe,2020-07-01,31.44892473
Tajikistan,Dushanbe,2020-08-01,61.62231183
Tajikistan,Dushanbe,2020-09-01,53.78055556
Tajikistan,Dushanbe,2020-10-01,50.97446237
Tajikistan,Dushanbe,2020-11-01,99.10416667
Tajikistan,Dushanbe,2020-12-01,113.4879032
Tajikistan,Dushanbe,2021-01-01,208.2375505
Tajikistan,Dushanbe,2021-02-01,48.49702381
Tajikistan,Dushanbe,2021-03-01,40.12634409
Tajikistan,Dushanbe,2021-04-01,35.81666667
Tajikistan,Dushanbe,2021-05-01,47.99556213
Tajikistan,Dushanbe,2021-06-01,49.94011142
Tajikistan,Dushanbe,2021-07-01,67.85020243
Tajikistan,Dushanbe,2021-08-01,64.4589502
Tajikistan,Dushanbe,2021-09-01,83.80667594
Tajikistan,Dushanbe,2021-10-01,72.59408602
Tajikistan,Dushanbe,2021-11-01,98.64305556
Tajikistan,Dushanbe,2021-12-01,62.61962366
Tajikistan,Dushanbe,2022-01-01,51.87584803
Tajikistan,Dushanbe,2022-02-01,41.4295302
Tajikistan,Dushanbe,2022-03-01,31.63965885
Tajikistan,Dushanbe,2022-04-01,37.20880682
Tajikistan,Dushanbe,2022-05-01,42.83870968
Tajikistan,Dushanbe,2022-06-01,28.79497908
Tajikistan,Dushanbe,2022-07-01,60.10207612
Tajikistan,Dushanbe,2022-08-01,39.44354839
Tajikistan,Dushanbe,2022-09-01,48.56467316
Tajikistan,Dushanbe,2022-10-01,40.20405405
Tajikistan,Dushanbe,2022-11-01,38.91764706
Tajikistan,Dushanbe,2022-12-01,104.2476319
Tajikistan,Dushanbe,2023-01-01,135.8719178
Tajikistan,Dushanbe,2023-02-01,44.66020864
Tajikistan,Dushanbe,2023-03-01,25.23426357
Tajikistan,Dushanbe,2023-04-01,42.27259887
Tajikistan,Dushanbe,2023-05-01,41.13138686
Tajikistan,Dushanbe,2023-06-01,73.28233658
Tajikistan,Dushanbe,2023-07-01,72.32839838
Tajikistan,Dushanbe,2023-08-01,48.9730821
Tajikistan,Dushanbe,2023-09-01,63.00491803
Tajikistan,Dushanbe,2023-10-01,43.31366906
Tajikistan,Dushanbe,2023-11-01,46.17777778
Tajikistan,Dushanbe,2023-12-01,79.35800808
Tajikistan,Dushanbe,2024-01-01,36
